ID;Name;Beschreibung;Art;Ort_Name;Adresse;Latitude;Longitude;Preis_Ca;Preis_Info;Wetter_Praeferenz;Datum_Von;Datum_Bis;Indoor_Outdoor;Zielgruppe;Dauer_Info;Website;Kontakt_Telefon;Booking_Info;Image_URL
116;Restaurant Zum Goldenen Schäfli;Das „Goldene Schäfli“ vereint regionale Schweizer Küche mit saisonalen Spezialitäten in einem historischen Gebäude. Die rustikale Atmosphäre lädt zum Verweilen ein. Besonders beliebt bei Gästen, die Authentizität und Qualität schätzen.;Genuss;St. Gallen;Metzgergasse 5;47.42664596;9.375512671;75;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Firma;2 Stunden;http://www.zumgoldenenschaeflisg.ch/;0712233737;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/p/AF1QipMOXCeml2SDD-nU9ash2iRO0B6SxCVLmc-3lOEi=w408-h272-k-no
117;Restaurant focacceria;Die focacceria serviert ofenfrische italienische Focaccia-Variationen mit kreativen Belägen. Schnelle Küche trifft auf mediterranen Geschmack. Ideal für einen unkomplizierten, aber genussvollen Mittag oder Abend.;Genuss;St. Gallen;Metzgergasse 22;47.42750424;9.375188083;45;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.focacceria.ch/;0712201615;Online buchen;https://lh3.googleusercontent.com/p/AF1QipNQfPK5pMHCIHrotBS6emlCIgrzOnwMX06u6iti=w408-h272-k-no
118;Restaurant US-Mex;US-Mex serviert texanisch-mexikanische Küche mit reichhaltigen Portionen, scharfen Saucen und Margarita-Happy-Hour. Die Atmosphäre ist bunt, laut und locker. Perfekt für Gruppen und ungezwungene Abende.;Genuss;St. Gallen;Bohl 4;47.42715805;9.376278785;25;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.usmex.ch/;0712288811;Online buchen;https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQcItJu_1oseR8G3sMxgV8UqR3QEHzDMpld3AEVeDGbuZTrk7tNpyqsjzv88JvrzWar_kxtKeuRMm-8g1jhFoZhsXguq4XObMfO1DrawzhYxynau3tKsEy5Brnz90OSQ556pjl=w426-h240-k-no
119;Restaurant Tres-Amigos;Tres-Amigos entführt Gäste in die Welt der mexikanischen Küche mit Tacos, Enchiladas und Tequila-Spezialitäten. Die farbenfrohe Einrichtung schafft ein authentisches Flair. Eine gute Wahl für Feierabend und Wochenendstimmung.;Genuss;St. Gallen;Hechtgasse 1;47.42713736;9.376652269;45;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.tresamigos.ch/;0712222506;Online buchen;https://lh3.googleusercontent.com/p/AF1QipME9Ol1dAk-dvtn1GwCqtzfa82dTRgFjAGgrNFk=w408-h240-k-no-pi0-ya240-ro0-fo100
120;Restaurant Stars and Stripes;Stars and Stripes bringt amerikanisches Diner-Feeling nach St. Gallen – mit Burgern, Ribs und Milkshakes im Retro-Stil. Sportübertragungen und Musik runden das Erlebnis ab. Besonders bei jungen Leuten und Familien beliebt.;Genuss;St. Gallen;Oberer Graben 27;47.42327415;9.374751435;40;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.starsandstripes.ch/;0712228018;Online buchen;https://lh3.googleusercontent.com/p/AF1QipMfBrsR_whnnrAocAeVZeAY9V_8andA7yY_nLIb=w408-h272-k-no
121;O'Five Pub;O'Five ist ein irisch angehauchter Pub mit großer Bierauswahl, Pub-Food und Dartscheibe. Die gemütliche Einrichtung lädt zu geselligen Abenden ein. Ein Klassiker unter den After-Work-Treffs.;Freizeit;St. Gallen;Poststrasse 15;47.42458504;9.372821863;8;pro 0.5L Bier;Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;2 Stunden;https://o-five.ch/;0712232536;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipMhBBfKAw1VHJZ1WGYz6vPS51ZK0rQ34kbja-dd=w408-h328-k-no
122;Roox Cafe St. Gallen;Das Roox Cafe ist stylish, hell und modern – perfekt für Kaffeegenuss, Snacks und Coworking. Die Küche bietet leichte, gesunde Gerichte. Ein Lieblingsort für Studierende und Freelancer.;Genuss;St. Gallen;Schützengasse 10;47.42427348;9.372169439;15;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;https://rooxcafe.ch/;0799232828;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipOgbAeTh61xDN_trZ0PVPVeX2Nb_nV3SMIR47l2=w408-h340-k-no
123;Süd Bar;Die Süd Bar liegt im Herzen von St. Gallen und kombiniert internationales Barfeeling mit lokalen Einflüssen. Die Terrasse ist besonders im Sommer sehr gefragt. Eine Adresse für gemütliche Drinks.;Genuss;St. Gallen;Oberer Graben 3;47.42564233;9.374729722;15;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.suedbar.ch/;0712208385;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqCsPfOlJ74IAPDJxRZ7j8TWAcPB15HPz64xn-v5xHdfRpLY_bzlgAV6UgIffdpCti9yLvG-o31LsJ9CGJmDTSiIOHsAz-HZKm2K-F-eWzCvp8JA8hjYQ6y84t1vSfAtJJz9fhIg=w408-h306-k-no
124;Café Bar Blumenmarkt;Ein besonderes Highlight am Blumenmarkt ist die Café Bar Blumenmarkt, die sich direkt am Platz befindet. Dieses gemütliche Lokal bietet morgens frische Gipfeli und Birchermüesli, mittags Salate, Suppen und Quiches sowie abends eine Auswahl an Apéroplättli. Am Wochenende verwandelt sich die Bar in einen Treffpunkt für Nachtschwärmer mit Live-Musik und einem vielfältigen Getränkeangebot.;Genuss;St. Gallen;Marktpl. 25;47.42589195;9.374770075;15;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.blumenmarktbar.ch/;0715354801;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AC9h4no4rN0THLaasQsWjnXcduiWRAW5zDuY3GVxbJX_OF9udpcDNMQzmts8fyHN3J0VUzi8I-QgKqk0FVo1OX2X8EIhWBusJ_3VwCqRzSSIrIuwTkGqiE4Zr7M_GX9DR3zEpDcVMBrS=w532-h240-k-no
125;Alt St.Gallen;Die Alt St.Gallen ist die älteste Bar der Stadt St. Gallen und befindet sich im Herzen des sogenannten „Bermuda-Dreiecks“, dem beliebten Ausgehviertel der Stadt. Seit 1537 wird in diesem historischen Gebäude an der Augustinergasse 23 ausgeschenkt, und das Lokal ist heute für seine gemütliche Wohnzimmeratmosphäre und seine kreativen Cocktails bekannt. Barchef Martin Durot kreiert eigene Drinks und aromatisiert Spirituosen sowie Säfte selbst, was der Bar einen einzigartigen Charakter verleiht.;Freizeit;St. Gallen;Augustinergasse 23;47.42699324;9.374301814;15;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;2 Stunden;;;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqM1PhKHSDBmnWOPyKbbnVybnp4jnqbz_z8gK1fDlwcUpwp6W6aZntMmPMicw1Y1vsI8fQaxJa51qn75n4zWdxcH5XUjgTMORLALv-YaaA33V8JkF3PZlwnPyOi4rIaIyy7hcHN=w408-h240-k-no-pi0-ya243.49081-ro-0-fo100
126;Rock Story;Rock Story ist eine Musikbar mit rockigem Flair, kultigen Getränken und Live-Events. Die Einrichtung erinnert an Rockgrößen vergangener Zeiten. Ein Muss für Liebhaber von Gitarrenklängen und Alternativkultur.;Genuss;St. Gallen;Augustinergasse 26;47.42712156;9.374523096;15;pro Person (variiert nach Bestellung);Egal;;;Indoor;Geniesser, Paare, Freunde, Studenten;2 Stunden;https://www.rockstory.ch/;0712209790;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHx9UdS8U3Z08kqGdaHyQplS5cAyIo_HGpTnX07eF3jju0bXkSaHX8t3yOyeMhYd1flv96dm_szb7mGXwm4XO1zhK6k_v3SWZd8FwSblpMKl7qjB0OzfZV-3iXMW94WE7xLu-v_g=w408-h544-k-no
127;Kult Bar;Die Kult Bar ist eine kleine, aber beliebte Location mit alternativer Musik, kreativen Drinks und Wohnzimmeratmosphäre. Hier trifft sich das junge, künstlerisch interessierte Publikum. Ideal für lange Abende in lockerer Stimmung.;Genuss;St. Gallen;Bohl 9;47.42663294;9.377114571;15;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.kult.sg/;;Nicht nötig;https://lh3.googleusercontent.com/p/AF1QipM5LW5NykQSyqf194PLJEn4pbmp-QIgPGySavG_=w408-h272-k-no
128;Prado Bar;Die Prado Bar steht für gehobene Barkultur mit spezialisierung auf Gin's, edlem Interieur und einer ruhigen Lounge-Atmosphäre. Die Musik ist dezent, der Service aufmerksam. Perfekt für gepflegte Abende oder romantische Dates.;Genuss;St. Gallen;Vadianstrasse 24;47.42237637;9.371420956;15;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://pradobar.com/;0717870808;Nicht nötig;https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqi1A0AdCapbfDo73HJEGmpgkH_8A8YpvoEhUOIeLIyY8e9NCg6SPX99B-fgLhdWG92H_iADBN7Mkrgz51v1xoLNmcQIBX4fzColOXnaTPIJRFAlJzytKVHRnUaJjBDmmFE2_9OLQ=w408-h544-k-no
129;Restaurant Goldener Ochsen;Das Restaurant Goldener Ochsen in St. Gallen begeistert mit authentischer tibetisch-asiatischer Küche in gemütlicher Atmosphäre. Besonders beliebt sind die frisch zubereiteten Momos sowie würzige Currys und Wokgerichte. Die wechselnden Mittagsmenüs und das beliebte Freitagsbuffet runden das Angebot ab.;Genuss;St. Gallen;Unterstrasse 57;47.41826145;9.365917982;40;pro Person (variiert nach Bestellung);Egal;;;Mixed;Geniesser, Paare, Freunde, Studenten;2 Stunden;http://www.goldenerochsen.ch/;0712227501;Über Telefonnummer reservieren;https://lh3.googleusercontent.com/gps-cs-s/AC9h4npy9HCtlM7wcRx5NWXbNfca9Y5Zc_2454C23kR6zey7ERNe-82M3rZ0MjboEU7v2JOO-GBS62QUCl0mHps5cj0aj8efcJEwWFDQl1pmlpTphGD9TR2vfq02fkvWRzTmyxVxwSI=w513-h240-k-no
140;;;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;;;
142;;;;;;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;;;
146;;;;;;;;;;;;;;;;;;;
147;;;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;;;
149;;;;;;;;;;;;;;;;;;;
150;;;;;;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;;;
154;;;;;;;;;;;;;;;;;;;
155;;;;;;;;;;;;;;;;;;;
156;;;;;;;;;;;;;;;;;;;
157;;;;;;;;;;;;;;;;;;;
158;;;;;;;;;;;;;;;;;;;
159;;;;;;;;;;;;;;;;;;;
160;;;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;;;
166;;;;;;;;;;;;;;;;;;;
167;;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;;;;;;;;
171;;;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;;;;;;;;
173;;;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;;;;;;;;
188;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
